id,property,value,above,text
68,s,1,0,Тобі важко принести донести їжу з крамниці додому
9,s,2,0,"Тобі важко винести сміття, коли відро переповнюється"
10,s,3,0,"Піднявши 6-кілограмову гантель до грудей, ти відчуваєш наближення смерті"
11,s,4,0,"Ти кличеш друзів, щоб пересунути меблі"
1,s,5,1,Тебе кличуть допомогти з пересуванням меблів
12,s,6,1,Тебе вважають качком
13,s,7,1,Ти вельми великий бугай
14,s,8,1,"Ти можеш зламати руку начальникові при рукостисканні, якщо втратиш пильність"
15,s,9,1,"Ти можеш втримати автомобіль на місці, схопивши його за бампер"
8,s,10,1,Ти можеш підняти невеликий автомобіль над головою
16,p,1,0,Ти носиш слуховий апарат
17,p,3,0,Ти можеш не помітити різкий неприємний запах
2,p,4,0,Ти можеш не помічати дзвінка в двері протягом довгих хвилин
18,p,5,0,"Ти іноді не помічаєш нічого навколо, поки тебе не покличуть на ім’я"
19,p,6,1,"Ти завжди помічаєш, коли тебе починають обговорювати за спиною"
20,p,7,1,Ти можеш вистежити людину за слідами її взуття
21,p,8,1,Ти можеш вистежити людину за слідами її запаху
22,p,9,1,Ти можеш орієнтуватись у повній темряві
23,p,10,1,На тебе неможливо напасти зненацька
24,e,2,0,"Ти постійний користувач інгалятора, раз на кілька годин"
25,e,3,0,"Плачеш півгодини, вдаривши пальчик"
26,e,4,0,"Пробігши дві хвилини, ти почуваєшся при смерті"
27,e,5,0,Вдарятись ногою об цеглину тобі пекельно боляче
28,e,6,0,Тебе паморочить від легкого удару по голові
29,e,7,1,Ти можеш працювати кілька годин без перерв на кавучай
3,e,8,1,Тебе важко збити з ніг звичайним ударом кулака в голову
30,e,9,1,Ти можеш витримати удар стільцем по голові
31,e,10,1,"Ти можеш продовжувати діяти, незважаючи на свою відкриту рану"
32,c,1,0,"Ти настільки потворний, що будь-хто, хто тебе зустрічає, бажає тобі безболісної смерті"
33,c,2,0,"Ти настільки потворний, що люди без сталевих нервів завжди відводять від тебе погляд"
34,c,3,0,"Такого, як ти, може любити тільки матір"
35,c,4,0,Тебе вважають страшненьким
36,c,5,1,Мама вважає тебе красунчиком
4,c,6,1,Тебе вважають вельми симпатичним
37,c,7,1,Жінки западають на тебе
38,c,8,1,Жінки самі залицяються до тебе
39,c,9,1,Всі жінки прагнуть мати від тебе дітей
40,c,10,1,Гетеросексуали твоєї статі відчувають до тебе статевий потяг
41,i,1,0,"Ти живий доказ того, що тілу для життя не потрібен мозок"
42,i,2,0,Ти розумово відсталий
43,i,3,0,Тебе може надурити дитина
44,i,4,0,Школа — для лохів
45,i,5,0,Філософія — для лохів
5,i,6,1,Тобі легко дається освіта в університеті
46,i,7,1,Ти (майбутній) провідний фахівець інтелектуальної праці
47,i,8,1,"Ти фахівець в кількох галузях, знавець багатьох наук"
48,i,9,1,"Твій шлях — самоосвіта, наукова кар’єра та переворот в науковому світі"
49,i,10,1,"Ти геній, можеш зібрати електронний пристрій із брухту і сміття"
50,a,1,0,У тебе спритність як у мертвого кота
51,a,2,0,У тебе загальмовані рефлекси
6,a,3,1,"Ти можеш відбити м’яч, котрий хтось випадково запустив тобі в голову"
52,a,4,0,Ти постійно об щось спотикаєшся
53,a,5,1,Ти любиш робити колесо
54,a,6,1,Ти можеш зробити сальто назад
55,a,7,1,"Ти проходиш смугу перешкод, як ніби немає ніяких перешкод"
56,a,8,1,Ти акробат циркового рівня
57,a,9,1,Ти акробат рівня відеоігор жанру “стелс”
58,a,10,1,"Ти можеш стояти на наперстку одним мізинцем, поки твої ноги жонглюють бензопилами"
59,l,1,0,Твоє життя дане тобі виключно для спокутування гріхів минулих
60,l,2,0,"Спущені колеса, дірка в сорочці, душ з калюжі — звичний твій день"
61,l,3,0,"Тобі траплялось викликати аварійку, бо забув ключі всередині"
62,l,4,0,"Повістка до суду — річ, котрій ти уже не дивуєшся"
63,l,5,1,Тобі доводилось знаходити 50 гривень на вулиці
7,l,6,1,"Ти, траплялося, знаходив 200 гривень на вулиці"
64,l,7,1,"Траплялося, що тебе на роботі підвищували, хоча ти цього не просив"
65,l,8,1,Тобі траплялося перемагати в лотереї
66,l,9,1,Ти кількаразово перемагав у лотереї
67,l,10,1,"Ти такий щасливчик, що тебе взагалі ніщо ніколи не засмучує"
